|TrainingName|TotalCost
965|cbip preparation and exam|2545
966|cbip preparation and exam (hotel)|530
967|néerlandais, modules trimestriels pour adulte à louvain-la-neuve (5 à 8 personnes) |453
968|cbip preparation and exam (train)|65,200000000000003
969|sas forum belgium & luxembourg|400
970|english courses|1140
971|sap|1252
972|annual cll group lessons|887,39999999999998
973|bo cr1|1494,8
974|bo-cr2|1420
975|bo-cr3|710
976|or2071 - oracle: pl/sql fundamentals|2400
977|powercenter 8 quickstartpc quickstart elearning|113,52
978|sas di studio taylor made training |1350
979|cognos performance 2008|0
980|business intelligence with sql2005 (ms 2791+2792+2793)|1750
981|sun certified developer for the java platform, standard edition: essay (step 2 of 2) (cx-310-027)|485
982|french, trimestrial modules for adult |493
983|cognos performance 2008|0
984|néerlandais,cours particuliers 11h|408
985|applying data mining techniques using sas enterprise miner|1050
986|datawarehousing concepts|300
987|self study to prepare for predictive modeling certification|1250
988|self-study as preparation for predictive modeling certification|500
989|sas di studio taylor made training |1350
990|ms office project|1250
991|a guide to the project management body of knowledge|40
992|informatica partner boot camp|475
993|sas di training|1350
994|informatica bootcamp|475
995|ibm cognos 8 v3: report studio - authoring professional reportsadvanced (part ii)|1250
996|ibm cognos 8v3 - bi analysis|875
997|dutch course|473
998|flights + hotel washington|1240,46
999|flights san diego|594,40999999999997
1000|hotel san diego|999
1001|using sas® data integration studio|1350
1002|introduction to microstrategy|0
1003|introduction to microstrategy|0
1004|introduction to microstrategy|0
1005|sas di studio|1275
1006|sas forum|150
1007|sas di studio|1350
1008|sas belux forum 2008|400
1009|sql fundamentals|0
1010|sql fundamentals|0
1011|introdcution to cognos 8 (report studio, framwork manager & analysis studio)|0
1012|introduction to sql|0
1013|internal training for cognos query studio, cognos reporting studio and cognos framework manager|750
1014|introdcution to cognos 8 (report studio, framwork manager & analysis studio)|0
1015|introduction to informatica|0
1016|introdcution to cognos 8 (report studio, framwork manager & analysis studio)|0
1017|cll immersion |1473
1018|themalingua - dutch|390
1019|themalingua - dutch|390
1020|introduction to cognos 8 (report studio, framework manager and analysis studio)|0
1021|applying data mining techniques using sas enterprise miner|1587
1022|introduction to cognos 8 (reporter studio, framework manager, analysis studio)|0
1023|febelfin : metier de banquier : contexte et fondement|0
1024|febelfin : metier de banquier : contexte et fondement|0
1025| 	2779 	: 	implementing a microsoft sql server 2005 database|0
1026|prince2: foundation|2250
1027|presentation skills and negociation skills|2600
1028|the data warehouse etl toolkit|0
1029|the data warehouse lifecycle toolkit|0
1030|the data warehouse toolkit: the complete guide to dimensional modeling|105,29000000000001
1031|sas certification prep guide: base programming for sas 9 (broché)|95,069999999999993
1032|reporting essentials|0
1033|project design|0
1034|intelligence server administration|0
1035|narrowcasting essentials|0
1036|sas base programming for sas (r) 9 - certification|238
1037|report studio: authoring reports with multidimensional data|1750
1038|transformer: designing olap models|3500
1039|travel to nice|332
1040|microstrategy pep|4800
1041|sas advanced techniques macros|0
1042|sas programming iii|0
1043|cognos data manager|250
1044|demo2win|250
1045|business process management workshop|2700
1046|microstrategy pep|3300
1047|project design|500
1048|intelligence server administration|500
1049|narrowcasting essentials|500
1050|reporting essentials|0
1051|sas bi dashboard|250
1052|companion diagnostics|160
1053|sas advanced certification|738
1054|dutch assessment|49
1055|introduction to oracle9i: sqlself study cd rom|0
1056|oracle9i: program with pl/sql|0
1057|data warehousing fundamentals self-study cd course|0
1058|oracle bi 10g: analytics overview - online course|0
1059|oracle bi suite ee 10g r3: create reports and dashboards - self-study cd course|290
1060|certification cognos 8bi report author|282
1061|sharing day functional design 2008 |125
1062|informatica powercenter |500
1063|certified cognos bi author v2|407
1064|introduction to informatica|0
1065|introduction to informatica powercenter|500
1066|self training data manager|0
1067|sql processing with sas|200
1068|self training data manager|0
1069|self-study|1250
1070|microsoft exam 070-431 for mcts: microsoft sql server 2005 ? implementation and maintenance|390
1071|nouveau néerlandais sans peine, assimil|75
1072|grammaire illustrée néerlandais, book|14,5
1073|self study|500
1074|sas fmregistration can be done directly through our website: http://www.sas.com/offices/europe/belux/training/index.html|1590
1075|datastage essentials v8|3770
1076|developing and using sas bi dashboards|0
1077|cll business - individual intra enterprise 30h|1890
1078|hotel fees visa las vegas|157,16
1079|hotel fees visa las vegas|157,16
1080|expenses note vegas|1203,8099999999999
1081|expense note sas training|522
1082|expense note varsaw|181,03
1083|expense note washington|328
1084|selfstudy in preparation of microstrategy certified project designer exam|500
1085|microstrategy testing day: certified project designer exam|450
1086|toute la fonction ressources humaines : savoir, savoir-faire, savoir-être amazon|40
1087|mce second time|1000
1088|cursus certifiant narrowcast server|0
1089|cursus certifiant narrowcast server|0
1090|self study|250
1091|external training course (afternoon)|125
1092|external training course (morning)|125
1093|informatica powercenter 8 level i developer|3600
1094|informatica - powercenter 8.x - level i developer|0
1095|baqmar conference|250
1096|selfstudy in preparation of microstrategy certified project designer exam|250
1097|cll dutch individual course|1380
1098|microstrategy world 2009 (user conference - las vegas)|1000
1099|microstrategy world|1000
1100|expense note training amsterdam|101,98999999999999
1101|tematische woordenschatnederlands voor anderstaligen|19,949999999999999
1102|business intelligence - data mining seminar|250
1103|elearning for exam 70-445|285,44999999999999
1104|elearning:mcts: .net framework 2.0 web applications 	mcts: sql server 2005 business intelligence      |1138,0699999999999
1105|external training course|250
1106|néerlandais, modules trimestriels pour adulte à louvain-la-neuve (5 à 8 personnes)|443
1107|quality center: test preperation + test execution|526
1108|microstrategy pep|3300
1109|training sas fm|1087,5
1110|sas fm|837,5
1111|expense notes sweden|197
1112|flight vegas|659,66999999999996
1113|flight vegas|659,66999999999996
1114|exam prince 2 fundation|200
1115|expense note vegas|1408,74
1116|hotel vegas|222
1117|hotel vegas|222
1118|querying and reporting using sas enterprise guide|750
1119|querying and reporting using sas enterprise guide|125
1120|self study|250
1121|microstrategy desktop: reporting essentials|500
1122|microstrategy desktop: advanced reporting 100|750
1123|sas home training|0
1124|informatica powercenter|1500
1125|di320v3.0 - businessobjects data integrator xi 3.0: core concepts|0
1126|dm351v3.0 - businessobjects universe designer xi 3.0: advanced universe design|1580
1127|bow305 qa100ev3.0 - businessobjects web intelligence xi 3.0: what''''''''''''''''s new|62,5
1128|sas programmin iii: advanced techniques|0
1129|inf80 - introductie in de bankwereld voor ict-ers|500
1130|microstrategy intelligence server administration|500
1131|sas certified base programmer for sas 9|0
1132|certified business intelligence professional (cbip) course|0
1133|cll dutch language |463
1134|one day training at home (dutch)|0
1135|finance corporate |61,700000000000003
1136|microsoft data warehousing and business intelligence in depth|3840,0100000000002
1137|book: delivering business intelligence with microsoft sql server 2008|39,479999999999997
1138|dw 2.0 (the architecture for the next generation of data warehousing)|67,079999999999998
1139|overview of microsoft sql server business intelligence|2715
1140|tdwi chapter benelux : trends in business intelligence|125
1141|microstrategy architect: project design|500
1142|ibm cognos 8 bi framework manager: design metadata models|0
1143|ibm cognos 8 bi transformer: design olap models|0
1144|sai avondconferentie op 5 februari te sodehotel wolume, mounierlaan 5, 1200 brussel, 19u|0
1145|options, futures et actifs dérivés|88,680000000000007
1146|microsoft techdays|900
1147|open source business intelligence tools|840
1148|ontwerpen van de nieuwe generatie datawarehouses|1850
1149|ibm cognos financial performance management for partners seminar|0
1150|bow305 qa100ev3.0 - bo web intelligence xi 3.0: what''''s new?|62,5
1151|master in biostatistics and computer sciences|0
1152|master in biostatistics and computer sciences|250
1153|master in biostatistics and computer science|250
1154|external training course|250
1155|microstrategy narrowcasting essentials|500
1156|training in dwhing concept at the office with bert wustenberghs|0
1157|training in dwhing concept at the office with bert wustenberghs|500
1158|dwhing concept|500
1159|microstrategy report developer certification|0
1160|ibm cognos 8 planning: fasttrack analyst and contributor (8.3)|4375
1161|ibm cognos 8 planning : fasttrack analyst and contributor (8.3)|4375
1162|ibm cognos 8 bi report studio: author reports with multidimensional data (v8.4)|1750
1163|usq5as1 microsoft sql server analysis services - part 1: introduction |1250
1164|usq5is - microsoft sql server integration services|1740
1165|oracle partner training - oracle bi suite ee plus|125
1166|webfocus training|500
1167|dutch course|0
1168|webfocus training|500
1169|sharepoint 2007|465
1170|sharepoint 2007|465
1171|first certificate in english - exam|428
1172|microstrategy desktop: document essential|0
1173|informatica certified administrator |300
1174|practical project management|3000
1175|book: the complete reference - business objects xi (cindi howson)|48,020000000000003
1176|microstrategy report developer certification|0
1177|microstrategy web sdk: customization essentials|750
1178|hands-on introduction to enterprise business intelligence with microstrategy|250
1179|dutch textbooks|71,170000000000002
1180|mcts sql server 2005 business intelligence |119
1181|mcitp sql server 2005 business intelligence developer |140
1182|microsoft sql server analysis services |1575
1183|microsoft sql server 2008 reporting services |1260
1184|openclinica european summit |225
1185|introduction business object designer xi |0
1186|introduction to bo designer|0
1187|introduction to bo reporter|0
1188|introduction business object reporter|0
1189|ontwerpen van nieuwe generaties datawarehouses|972
1190|kxen|1095
1191|kxen|1369
1192|implementing a microsoft sql server 2008 database|1575
1193|book balanced scorecards & operational dashboards with microsoft excel |25,260000000000002
1194|book : accounting for non-accountants: the fast and easy way to learn the basics |9,2599999999999998
1195|data quality |0
1196|itil v3 foundation|1609
1197|ibm cognos 8 planning : fasttrack analyst and contributor (8.3)|4375
1198|boi300 - sap businessobjects data integrator xi 3.0/3.1: core concepts|2370
1199|sas base programming certification via promterics|113
1200|introduction to business objects xi reporting|0
1201|introduction to business objects xi designer|0
1202|introduction to business objects xi reporting|500
1203|introduction to business objects xi designer|500
1204|pmi global congress 2009|2003,95
1205|tm1 partner training|2344
1206|microsoft ssis 2005 certified developer|250
1207|relationship marketing congres.http://www.relationshipmarketing.be/nl/inschrijvingen.aspx|315
1208|relationship marketing congress |0
1209|bi and cpm seminar at peopleware|0
1210|or2071	oracle : pl/sql fundamental|2400
1211|cognos bi framework manager|3781
1212|sas programming: enhancements in sas 9.2|300
1213|business intelligence en corporate performance management: managen op basis van facts & figures|0
1214|"gratis seminarie ""business intelligence en corporate performance management: managen op basis van facts & figures"""|250
1215|de kracht van emotionele intelligentie |250
1216|communicatie voor ict-projectleiders (1)|500
1217|member international association for information and data quality|85
1218|pmi global congress 2009-emea congress |2202,9499999999998
1219|exam 70-433|390
1220|oracle : pl/sql fundamentals|2400
1221|exam session|250
1222|mcts self-paced training kit [exam 70-445]: microsoft sql server 2005 business intelligence - implementation and maintenance|50
1223|mcts self-paced training kit (exam 70-448): microsoft sql server 2008 - business intelligence development and maintenance |65
1224|microsoft sql server business intelligence |1425
1225|cognos 8 bi data manager: building datamarts with enterprise data v8.3|2343,75
1226|peoplemanagement voor ict-medewerkers|0
1227|communicatie voor ict-projectleiders (2)|250
1228|informatica powerday|125
1229|oracle business intelligence & datawarehouse symposium 2009|0
1230|oracle business intelligence & datawarehouse symposium 2009|0
1231|oracle business intelligence and datawarehouse symposium|0
1232|oracle business intelligence and datawarehouse symposium|0
1233|business intelligence en corporate performance management: managen op basis van facts & figures|0
1234|dev353: data modeling with powerdesigner 15|3400
1235|ibm cognos 8 bi framework manager|1054,5
1236|cognos 8 framework manager|1054,5
1237|condensed framework manager |1054,5
1238|framework manager|1054,5
1239|businessobjects xcelsius 2008 enterprise: core |740
1240|ick informeel: neuromarketing & co-creation communities|20
1241|exam session|0
1242|smart business intelligence solutions with microsoft sql server 2008|30,09
1243|2nd informatica powerdaythe data integration and data quality event|125
1244|exam session|250
1245|building the data warehouse, fourth edition (william h. inmon)isbn 9780764599446|47,899999999999999
1246|spss - modeler club|0
1247|spss modeler club|125
1248|document essential|250
1249|free seminare about business intelligence and corporate performance management|0
1250|businessobjects data integrator xi 3.0/3.1: core concepts|844
1251|oracle business intelligence and datawarehouse symposium |0
1252|oracle business intelligence and datawarehouse symposium |0
1253|master on bistatistics and computer science|250
1254|microstrategy intelligence server|500
1255|exam session|250
1256|mcitp sql server 2008 business intelligence developer|119
1257|sas base certification(exam id - a00-211)|113
1258|sas base certification(exam id - a00-211)|113
1259|dutch course ('immersion vacances')|508
1260|dutch course (''immersion vacances'')|508
1261|exam session|500
1262|sas report writing using procedures and ods |2325
1263|sas forum 2009|450
1264|ms partner network - info session|125
1265|sas forum belux|450
1266|retailday 2009 : smart retailing|625
1267|microsoft sales & marketing update|125
1268|qlickview |1866,5
1269|self study (2 days) + exam on third day: qawi201v3.0 (pearson vue)|900
1270|oracle database 11g: program with pl/sql|4200
1271|self study for bo webi exam|500
1272|communicatie voor ict-projectleiders|0
1273|communicatie voor ict-projectleiders|0
1274|sas forum|450
1275|querying and reporting using sas enterprise guide|250
1276|qawi201v3.0 business objects certified professional web intelligence xi 3.0|125
1277|bi-day leuven|0
1278|national business intelligence conference|0
1279|bi day|0
1280|cog-112: ibm cognos 8 bi author|138
1281|teambuilding - telenet|250
1282|bi-day|0
1283|ibm cognos performance 2009 (brabanthal leuven)|250
1284|bi day|250
1285|sas belux forum 2009|200
1286|ibm cognos performance 2009|250
1287|bi-day |0
1288|bi-day|250
1289|bi-day|0
1290|presentation skills in english in an ict-environment (1)|250
1291|presentation skills in english in an ict-environment (2)|250
1292|abaf certification|0
1293|sas belux forum|200
1294|sas programming iii: advanced techniques|1125
1295|ibm cognos performance 2009|250
1296|cognos performance 2009|0
1297|ibm cognos performance 2009|250
1298|sas forum belgium & luxembourg|450
1299|qlikview|0
1300|qlikview initiation|0
1301|qlikview initiation|0
1302|clikview initiation|0
1303|qlikview|0
1304|qlikview introduction|0
1305|qlickview|500
1306|creating and exploiting olap using the sas system|1221,4300000000001
1307|dutch group lessons|1036
1308|introductie in de bankwereld voor ict'ers.|500
1309|uml (part 1) int82http://www.cefora.be/cefora/index.php?id=105&l=2&inscid=122&c=923|250
1310|excel: vervolmaking i (part1) bun08|250
1311|excel: vervolmaking  (part2) bun08|250
1312|oracle pl/sql|750
1313|projectmanagement voor informatici(kortrijk) inf20|500
1314|pl/sql|750
1315|sql server|1000
1316|sharepoint server|1000
1317|concepts et techniques d'internet|500
1318|pl sql|750
1319|inrichting en sturing van een multi-projectorganisatie in de ict-sector|0
1320|access base buf59|250
1321|word avance|250
1322|competences consultant it|250
1323|word avance|250
1324|competences consultant it|250
1325|ms visio bun44|250
1326|python training|1000
1327|teradata physical database design (emea cust ed) ilt 40025|3729
1328|sql server: mise en oeuvre et administration|1000
1329|forecast studio and supply chain portal |500
1330|projectmanagement voor informatici.|500
1331|oracle / plsql|750
1332|workshop: power, politics & partnership in data governance|250
1333|oracle/pl sql|750
1334|consulting vaardigheden voor ict-ers|250
1335|excel: vervolmaking ii gent bun65 (part1)|250
1336|excel: vervolmaking ii gent bun65 (part2)|250
1337|oracle pl/sql|0
1338|ms project |0
1339|pre-sales training demand driven forecasting.|0
1340|pl/sql internal training|0
1341|access: basis|250
1342|ibm cognos performance 2009|250
1343|ms project|0
1344|ms project|0
1345|access base buf59|250
1346|access avance buf60|250
1347|access avance buf60|250
1348|access avance buf60|250
1349|dimensional modeling in depth (ross & kimball).|1002,6950000000001
1350|sas financial management|750
1351|information quality improvement - by larry p. english|0
1352|oracle opn days virtual event|250
1353|sql server day 200|250
1354|informatica|250
1355|bo - a better universe|500
1356|tiqm® quality system certification |0
1357|i-way data management console|500
1358|sharepoint portal server 2007|0
1359|sharepoint portal server 2007|0
1360|creatief problemen oplossen|0
1361|creatief problemen oplossen|0
1362|consultant vaardigheden voor ict-ers|0
1363|consulting vaardigheden voor ict-ers|0
1364|consulting vaardigheden voor ict-ers|0
1365|consultant vaardigheden voor ict-ers|250
1366|beheer microsoft sql server 2008|0
1367|beheer microsoft sql server 2008|0
1368|beheer microsoft sql server 2008|0
1369|beheer microsoft sql server 2008|500
1370|proactief handelen|0
1371|cognos series 8|0
1372|sql server 2008 bi exam|390
1373|proactief handelen|250
1374|cognos series 8|750
1375|cognos series 8|750
1376|cognos series 8|0
1377|cognos series 8|0
1378|cognos 8 |500
1379|cognos 8|0
1380|businessobjects data integrator xi - level one (dmdi201)|250
1381|qlikview designer & developer|0
1382|sin17: gestion de projet|500
1383|sin25: presentation skills in english|250
1384|sin25: presentation skills in english (part 2)|250
1385|sin79: competence du consultant|250
1386|sin79: competence du consultant (part 2)|250
1387|sin69: itil bases|0
1388|sin59: risk management|0
1389|access: basics|250
1390|access: basics|250
1391|sql server day 2009 mechelen|250
1392|data stage internal training|1250
1393|sql server day 2009|250
1394|ibm datastage - internal course at keyrus|1250
1395|ibm data stage|1250
1396|ibm datastage|0
1397|ibm datastage|0
1398|le néerlandais sans peine, assimil|77,5
1399|baqmar 2009 conference|0
1400|qlikview server&publisher for entreprise|1590
1401|dutch course|510
1402|business objects certified professional - businessobjects data integrator xi - level two|250
1403|sas financial management: data administration course notes sas financial management: foundations training course notes|140
1404|"book ""verification and validation for quality of uml 2.0 models""http://eu.wiley.com/wileycda/wileytitle/productcd-0471727830.html"|79,599999999999994
1405|what's new: administration and security xi 3 vs xi r2wfrnuc|810
1406|what's new:servers administrationxi 3 vs xi r2wfrnas|810
1407|bo100 - sap businessobjects integration kit for sap business warehouse (bw)|3950
1408|inf83 - consulting vaardigheden voor ict-ers|0
1409|inf83 - consulting vaardigheden voor ict-ers|0
1410|tdwi chapter meeting: predictive analytics (http://www.bi-community.org/events_feb10_11.html)|125
1411|techdays 2010|1243
1412|sales & marketing update|250
1413|sas advanced programming certification|113
1414|inf22 - overtuig uw (project)medewerkers, collega''s of klanten|500
1415|essentials for ibm cognos 8 bi (v8.4)|0
1416|ibm cognos 8 bi multidimensional author (certification)|265
1417|sas fm 5.1 delta implementation bootcamp milan|1382,6500000000001
1418|fm 5.1 delta implementation bootcamp in milan |878,63999999999999
1419|sas financial management v5.1 bootcamp|878,63999999999999
1420|sas fm bootcamp|1382,6500000000001
1421|bi community - round table 2010|195
1422|sas base certification |50
1423|certification sas/base|50
1424|"introduction to ""application review"" enterprise architecture and risk management / pm basics 1/3"|125
1425|pm basics 2/3 (pmbok based)|0
1426|pm basics 3/3 (msp based)|0
1427|qawi201v3.0  	business objects certified professional web intelligence xi 3.0|125
1428|qawi301v3.0 	bocp - businessobjects web intelligence xi 3.0 - level two|125
1429|sabe201 	business objects certified professional - businessobjects enterprise xi-level 1|125
1430|usq5bi - overview of microsoft sql server 2008 business intelligence|1800
1431|berlitz language services - dutch lessons|1105
1432|sas advanced certification exams|300
1433|sas advanced programming certification|300
1434|sas macro language |750
1435|sas macro|750
1436|marfintel evening seminars on customer analyticshttp://www.marfintel.com/registerseminars.html|400
1437|communication for ict-projectleader|0
1438|sas macro|250
1439|ibm cognos partner sales intro|125
1440|etl architecture in depth|4193
1441|dimensional modeling in depth|3793,0799999999999
1442|de agile-methodiek bij software ontwikkeling (inf82) |250
1443|projectmanagement voor informatici (inf20)|500
1444|peoplemanagement voor ict-medewerkers (inf21) |500
1445|onderhandelen en samenwerken in ict-teams (inf77)|250
1446|delegeren aan ict-medewerkers & ict-teams (inf59) |250
1447|communicatie voor ict-projectleiders (inf71) |0
1448|communicatie voor ict-projectleiders (inf71) (part 2)|0
1449|sas base certification|300
1450|cognos certificationexam:cog-132 ibm cognos 8 metadata model developer|397
1451|projectmanagement voor informatici|500
1452|ibm cognos tm1 developer|274,44999999999999
1453|microsoft tech days - preconference business intelligence|600
1454|inrichting en sturing van een multiprojectorganisatie in de ict sector|500
1455|microsoft techdays 2010: pre-conference|600
1456|risico's voorkomen in ict-projectmanagement (inf64)|500
1457|business intelligence and data warehousing: architecture|1295
1458|peoplemanagement voor ict-medewerkers|500
1459|inf20 projectmanagement voor informatici|500
1460|néerlandais, module intensif matin|650
1461|abaf examination|0
1462|dimensionaal modelleren voor datawarehouses|1760
1463|sql server 2008 etape par étape, mike hotek isbn : 9782100526734|40
1464|knight's 24-hour trainer: microsoft sql server 2008 integration services (wrox programmer to programmer)|30
1465|oracle: sql advanced  or2070|1050
1466|essentials for ibm cognos 8 bi (v8.4)|4246
1467|usq5is - microsoft sql server integration services|1830
1468|dutch course|470
1469|usq5bi - overview of microsoft sql server 2008 business intelligence  |3050
1470|dimensionaal modelleren voor datawarehouses|880
1471|peoplemanagement voor ict-medewerkers (inf21)|500
1472|dw/bi concepts|0
1473|néerlandais, module intensif matin|625
1474|consulting vaardigheden voor ict''ers|250
1475|ontwerpen van de nieuwe generatie datawarehouses|1850
1476|bou310 dm310v3.0 - sap businessobjects universe designer xi 3.0/3.1: universe design|1620
1477|bou320 dm351v3.0 - sap businessobjects universe designer xi 3.0/3.1: advanced universe design|1080
1478|consulting vaardigheden voor ict''''ers|250
1479|introduction to ibm spss modeler and data mining|1375
1480|les compétences du consultant en informatique|0
1481|améliorez votre communication en un clin d''''''''oeil - conseils pratiques pour informaticiens (module e-learning)|175
1482|ibm datastage|3800
1483|http://www.lulu.com/product/file-download/the-business-of-data-vault-modeling/5262247|25
1484|cbip certification guidehttps://tdwi.org/forms/buy.aspx|145
1485|bo xi reporter|0
1486|bo xi designer|0
1487|business objects xi - reporter|250
1488|business objects xi - designer|250
1489|sigs datacom -cbip @ munich|3184,6599999999999
1490|data resource quality: turning bad habits into good practices isbn-10: 0201713063 isbn-13: 978-0201713060 |40
1491|data modelers workbench: tools and techniques for analysis and design     isbn-10: 0471111759   isbn-13: 978-0471111757|40
1492|data strategy isbn-10: 0321240995 isbn-13: 978-0321240996 isbn-10: 0321240995 isbn-13: 978-0321240996 |25
1493|french lessons - private course|964
1494|bow325 qa320ev3.0 - sap businessobjects web intelligence xi 3.0: advanced report design|800
1495|boe315 sa210ev3.0 - sap businessobjects enterprise xi 3.0: administration and security|800
1496|boe325 sa310ev3.0 - sap businessobjects enterprise xi 3.0: administering servers - windows|800
1497|ibm cognos tm1: essentials for ibm cognos tm1 (v9.5)|4646
1498|sql server: mise en oeuvre et administration (sit23)|0
1499|les compétences du consultant en informatique (sin79)|0
1500|usq5bi - overview of microsoft sql server 2008 business intelligence |1800
1501|microstrategy world 2010 cannes!|752,42000000000007
1502|les compétences du consultant en informatique (sin79)|0
1503|sql server: mise en oeuvre et administration (sit23)|0
1504|sql server: mise en oeuvre et administration (sit23)|0
1505|q4k - etl architecture in depth|4228
1506|qlikview|0
1507|presentation skills (public speaking) in english|1200
1508|writing skills - in english|1200
1509|data warehouse lifecycle in depth|4171,5200000000004
1510|internal telenet team event|250
1511|risk management |0
1512|risk management|0
1513|datastage enterprise edition essentials v8|2800
1514|datastage enterprise edition essentials v8|3800
1515|onderhandelen en samenwerken in ict-teams |250
1516|projectmanagement voor informatici|500
1517|dimensional modeling in depth|4145,8299999999999
1518|informatica powercenter|0
1519|gestion du changement|0
1520|gestion du changement dans un contexte ict|500
1521|"opleiding ""communicatie voor ict-projectleiders"""|500
1522|communicatie voor ict-projectleiders|125
1523|mcts self-paced trainig kit (exam 70-448)|51,789999999999999
1524|data warehousing concepts|0
1525|extraction, transformation and load (keyrus academy)|0
1526|best of microsoft : the latest technologies in 5 days (sit121) |0
1527|oracle 10g : maîtriser les bases(sit27) |0
1528|data warehouse modelling|0
1529|sas forum 2010|400
1530|boe325 sa310ev3.0 - sap businessobjects enterprise xi 3.0: administering servers - windows|250
1531|ibm cognos tm1 : administration module (payed by sca)|250
1532|etl in detail|0
1533|néerlandais, module intensif matin à brussels woluwe pour adulte|210
1534|communication training e learning (inf 81)|250
1535|communication training e learning (inf 81)|0
1536|communication training e learning (inf 81)|0
1537|communication training e learning (inf 81)|0
1538|projectmanagement voor informatici(inf20) |500
1539|bi-day.be of the bi-community|0
1540|informatica powercenter 8/9 - developer (level1)|3600
1541|data warehouse modelling|0
1542|communicatietips voor informatici|0
1543|self-study for microsoft exam (exam 70-448)|250
1544|gestion du changement dans un contexte ict|0
1545|self-study for microsoft exam (exam 70-448)|500
1546|informatica administration|3126
1547|oracle business intelligence 11g launch|0
1548|etl in detail|0
1549|communication training e learning (inf 81)|0
1550|microsoft certification training (self-study)|250
1551|bow315 - sap businessobjects web intelligence xi 3.0: report design|550
1552|c_bowi_30  sap certified application associate - sap businessobjects web intelligence xi 3.x|400
1553|introduction to business objects data integrator (bodi)|0
1554|sap certified application associate - sap businessobjects web intelligence xi 3.x|525
1555|business intelligence day|345
1556|sas business intelligence reporting |0
1557|microsoft sql server 2005/2008 reporting services - essentials |1695
1558|introduction to cognos report studio and framework manager|0
1559|bi-day conference on 16 september|345
1560|sas forum belux|250
1561|self-study for microsoft exam (exam 70-448)|0
1562|self-study for microsoft exam (exam 70-448)|0
1563|sap bo seminar (amsterdam)|2350
1564|master final work presentation|125
1565|sas forum|400
1566|oracle solution days|0
1567|sap certified application associate - sap businessobjects web intelligence xi 3.x	|400
1568|preparation exam 70-452 ? pro (part 1)|2272
1569|preparation exam 70-452 ? pro (part 2)|250
1570|boc315 - crystal reports 2008: report design i - fundamentals of report design|550
1571|next-generation datacenter: optimize with oracle|250
1572|les compétences du consultant en informatique(sin79) -cefora|0
1573|tools for communication & creative thinking|0
1574|mediation and conflict resolution skills|0
1575|introduction to it service management (itsm) - the itil v2 & v3 frameworks |0
1576|sap partner summer school - september 9 - sap lounge|250
1577|sap partner summer school|250
1578|sap partner summer school - september 9 - sap lounge|0
1579|crédits aux professionels et aux entreprises (programme avancé) module 1|1610
1580|credit risk modelling for basel ii |1610
1581|tools for communication & creative thinking|0
1582|sas forum 2010|275
1583|book: ibm cognos 8 report studio cookbook by abhishek sanghani|45,310000000000002
1584|book: databasesystemen voor de praktijk isbn 90 12 10799 7|38,960000000000001
1585|acess 2010 bible|48,100000000000001
1586|ms sql server training kit|54,899999999999999
1587|business intelligence day 2010|328,50999999999999
1588|sas forum 2010|400
1589|ibm information on demand 2010|5184,8499999999995
1590|data warehousing - general training|0
1591|excel 2010 powerprogramming with vba|48,100000000000001
1592|verstandig beleggen in turbulente tijden|0
1593|an introduction to communication skills (1)|0
1594|an introduction to communication skills (2)|0
1595|tools for communication & creative thinking (bono)|0
1596|mediation and conflict resolution skills |0
1597|tools for communication & creative thinking (bono)|0
1598|introduction to it service management (itsm) - the itil v2 & v3 frameworks|0
1599|microsoft sharepoint server 2007|0
1600| an introduction to communication skills (1)  |0
1601|an introduction to communication skills (2)|0
1602|tools for communication & creative thinking (bono)|0
1603|mediation and conflict resolution skills |0
1604|introduction to it service management (itsm) - the itil v2 & v3 frameworks|0
1605|dimensional modeling in depth|4629,3299999999999
1606|dimensional modeling in depth|4476,9200000000001
1607|dimensional modeling in depth|4337,9200000000001
1608|informatica powercenter 8.6/9.0 level i developer (4 days)|0
1609|english : intensive morning module|1650
1610|bi-day|0
1611|data warehouse lifecycle in depth |0
1612|presentation skills|0
1613|presentation skills|0
1614|ict consultancy skills|500
1615|preparation exam 70-452 - pro: designing a business intelligence infrastructure using microsoft sql server 2008 |2272
1616|preparation exam 70-452 - pro: designing a business intelligence infrastructure using microsoft sql server 2008 |250
1617|bi - day|353,31
1618|mtcs ssis certification 70-448|265
1619|data quality : caring about a neat business|125
1620|sap partner summer school|0
1621|boc325 - crystal reports: report desing ii|550
1622|business managment (cergeco) at ichec school|795
1623|presentation skills|250
1624|bi day|350
1625|sas forum belux 2010|400
1626|data warehousing concepts|750
1627|presentation skills|0
1628|presentations skills in english|0
1629|presentations skills in english|0
1630|presentation skills|0
1631|presentation skills|0
1632|it consultancy skills in english|500
1633|it consultancy skills|0
1634|it consultancy skills in english|0
1635|presentations skills in english|0
1636|presentations skills in english|0
1637|data warehousing concepts training|0
1638|data warehousing concepts training|0
1639|data warehouse training|0
1640|data warehouse training|0
1641|it consultancy skills in english|0
1642|presentations skills in english|0
1643|presentations skills in english|0
1644|it consultancy skills |0
1645|presentations skills in english|0
1646|presentations skills in english|0
1647|beheer microsoft sql server 2008|0
1648|it consultancy skills in english|0
1649|tools for communication & creative thinking (bono)|0
1650|mediation and conflict resolution skills|0
1651|tools for communication & creative thinking (bono)|0
1652|overview of sas business intelligence and data integration |250
1653|mediation and conflict resolution skills|0
1654|negociation and sales skills|0
